epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.40802,1.16401,2.93557,1.45529,0.2931,0.31409,0.29357,0.18662,1.25438,2.50853,1.72199,0.000469718,0.000469718,0.000469718
2,15.7841,1.19163,2.25711,1.48529,0.24064,0.36599,0.29862,0.15728,1.47557,3.59997,2.04236,0.000930441,0.000930441,0.000930441
3,22.8098,1.19465,2.0623,1.489,0.36003,0.49332,0.36123,0.20149,1.47034,3.03168,1.96606,0.00137545,0.00137545,0.00137545
4,29.6614,1.20008,1.91136,1.4628,0.40392,0.458,0.36446,0.19007,1.70883,2.2997,2.06014,0.00135826,0.00135826,0.00135826
5,36.5158,1.17468,1.77955,1.43133,0.49678,0.47196,0.42727,0.23728,1.48019,2.26062,1.97788,0.00133469,0.00133469,0.00133469
6,43.2332,1.11696,1.60304,1.3964,0.47347,0.49747,0.47431,0.28776,1.32176,2.09518,1.71427,0.00131111,0.00131111,0.00131111
7,49.9655,1.10334,1.57407,1.38351,0.42744,0.49212,0.37364,0.22418,1.44057,2.36129,1.88836,0.00128753,0.00128753,0.00128753
8,56.7801,1.05832,1.42,1.35176,0.73603,0.63801,0.7484,0.52256,1.07665,1.30731,1.51307,0.00126395,0.00126395,0.00126395
9,63.5476,1.05056,1.34844,1.3434,0.6468,0.54644,0.62011,0.42494,1.1275,1.58575,1.57442,0.00124037,0.00124037,0.00124037
10,70.2404,0.99274,1.3317,1.31444,0.6691,0.6868,0.74646,0.53789,1.06759,1.23894,1.50184,0.00121679,0.00121679,0.00121679
11,77.0089,0.98186,1.24266,1.29431,0.72852,0.65313,0.75127,0.53331,1.05601,1.24686,1.50731,0.00119322,0.00119322,0.00119322
12,83.7371,0.97927,1.2453,1.29538,0.73691,0.62615,0.74633,0.55396,0.9845,1.27921,1.40641,0.00116964,0.00116964,0.00116964
13,90.4694,0.95994,1.20995,1.2816,0.61439,0.64644,0.66608,0.45779,1.07877,1.45856,1.52048,0.00114606,0.00114606,0.00114606
14,97.2953,0.93924,1.15733,1.26691,0.80569,0.72032,0.80814,0.61006,0.92686,1.01085,1.35538,0.00112248,0.00112248,0.00112248
15,104.002,0.93084,1.15528,1.25364,0.62596,0.65352,0.70193,0.49682,1.02854,1.57526,1.45717,0.0010989,0.0010989,0.0010989
16,110.626,0.9219,1.12153,1.24658,0.58408,0.48901,0.49916,0.33971,1.22396,1.84121,1.63483,0.00107532,0.00107532,0.00107532
17,117.306,0.88663,1.04794,1.22989,0.7828,0.73853,0.80832,0.60696,0.93507,0.98929,1.36017,0.00105174,0.00105174,0.00105174
18,124.039,0.90183,1.04965,1.24013,0.67892,0.6083,0.68234,0.5018,1.03814,1.54622,1.45684,0.00102817,0.00102817,0.00102817
19,130.753,0.87585,0.99808,1.22099,0.82133,0.76515,0.82495,0.64536,0.88708,0.97662,1.32516,0.00100459,0.00100459,0.00100459
20,137.506,0.84528,0.98455,1.20309,0.77618,0.73853,0.81507,0.63088,0.9267,0.95345,1.36281,0.000981008,0.000981008,0.000981008
21,144.168,0.85842,0.99473,1.19778,0.75465,0.68358,0.77104,0.57246,0.99599,1.04572,1.46007,0.00095743,0.00095743,0.00095743
22,150.863,0.85138,0.97702,1.19797,0.80681,0.80325,0.85842,0.66048,0.88445,0.85741,1.30329,0.000933851,0.000933851,0.000933851
23,157.531,0.82168,0.91477,1.18186,0.84378,0.78324,0.87251,0.67715,0.85012,0.79168,1.29634,0.000910273,0.000910273,0.000910273
24,164.168,0.81897,0.9346,1.18052,0.86689,0.74209,0.85792,0.6575,0.90531,0.94406,1.3287,0.000886694,0.000886694,0.000886694
25,170.836,0.81725,0.90124,1.1748,0.87126,0.78646,0.88565,0.69502,0.84406,0.7772,1.27842,0.000863116,0.000863116,0.000863116
